NumElements,Datatype,Dataset,avgHistogram,avgScan,avgPaste,avgReorder,avgTotalGPU,avgTotalSTLCPU,avgTotalRDXCPU
128,int64_t,Inverted range,0.00521979,0.127388,0.162768,0.0104281,5.19286,3.12362,0
128,int64_t,Uniform random,0.162767,0,0.162755,0,6.25032,0,3.1252
128,int64_t,Random,0.325534,0,0,0,6.25026,0,0
256,uint32_t,Zeros,0,0,0.325383,0,3.12368,0,0
256,uint32_t,Range,0,0,0,0,3.12496,3.14942,0
256,uint32_t,Inverted range,0,0,0,0.32539,3.12374,0,0
256,uint32_t,Uniform random,0,0,0,0.325485,3.12466,0,3.12332
256,uint32_t,Random,0.325333,0,0,0,0,0,0
256,int32_t,Zeros,0,0,0.325321,0,0,0,0
256,int32_t,Range,0.0104771,0.0341677,0.325487,0,3.88128,0,3.12354
256,int32_t,Inverted range,0,0,0,0,3.12454,0,3.12362
256,int32_t,Uniform random,0,0,0,0.325504,3.12484,0,3.12338
